<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.22	00:00:00	1.08181	1.08181	1.08140	1.08151	7	0	13
2024.02.22	00:01:00	1.08160	1.08191	1.08102	1.08125	6	0	14
2024.02.22	00:02:00	1.08110	1.08152	1.08110	1.08152	5	0	64
2024.02.22	00:03:00	1.08152	1.08168	1.08152	1.08168	2	0	53
2024.02.22	00:04:00	1.08181	1.08181	1.08181	1.08181	1	0	42
2024.02.22	00:05:00	1.08181	1.08181	1.08176	1.08179	4	0	23
2024.02.22	00:06:00	1.08179	1.08179	1.08179	1.08179	1	0	30
2024.02.22	00:07:00	1.08179	1.08179	1.08179	1.08179	1	0	25
2024.02.22	00:08:00	1.08178	1.08178	1.08173	1.08173	2	0	31
2024.02.22	00:09:00	1.08173	1.08176	1.08167	1.08176	4	0	13
2024.02.22	00:10:00	1.08176	1.08177	1.08161	1.08173	8	0	14
2024.02.22	00:11:00	1.08173	1.08173	1.08127	1.08135	8	0	29
2024.02.22	00:12:00	1.08152	1.08165	1.08152	1.08154	16	0	29
2024.02.22	00:13:00	1.08154	1.08164	1.08154	1.08164	4	0	23
2024.02.22	00:14:00	1.08162	1.08185	1.08154	1.08185	17	0	23
2024.02.22	00:15:00	1.08185	1.08185	1.08177	1.08178	6	0	30
2024.02.22	00:16:00	1.08180	1.08200	1.08174	1.08198	38	0	30
2024.02.22	00:17:00	1.08196	1.08199	1.08190	1.08199	64	0	29
2024.02.22	00:18:00	1.08198	1.08198	1.08196	1.08197	8	0	30
2024.02.22	00:19:00	1.08195	1.08195	1.08167	1.08173	29	0	29
2024.02.22	00:20:00	1.08172	1.08180	1.08170	1.08180	8	0	30
2024.02.22	00:21:00	1.08181	1.08184	1.08170	1.08184	6	0	30
2024.02.22	00:22:00	1.08184	1.08189	1.08181	1.08189	26	0	30
2024.02.22	00:23:00	1.08187	1.08189	1.08187	1.08188	3	0	30
2024.02.22	00:24:00	1.08191	1.08196	1.08188	1.08192	8	0	11
2024.02.22	00:25:00	1.08191	1.08195	1.08184	1.08187	8	0	12
2024.02.22	00:26:00	1.08188	1.08197	1.08186	1.08192	10	0	10
2024.02.22	00:27:00	1.08192	1.08193	1.08189	1.08190	12	0	30
2024.02.22	00:28:00	1.08190	1.08190	1.08189	1.08190	3	0	30
2024.02.22	00:29:00	1.08189	1.08191	1.08181	1.08186	38	0	29
2024.02.22	00:30:00	1.08186	1.08187	1.08182	1.08183	27	0	29
2024.02.22	00:31:00	1.08183	1.08184	1.08182	1.08184	8	0	30
2024.02.22	00:32:00	1.08184	1.08187	1.08183	1.08187	11	0	30
2024.02.22	00:33:00	1.08186	1.08192	1.08184	1.08188	28	0	29
2024.02.22	00:34:00	1.08189	1.08190	1.08187	1.08188	30	0	30
